algorithm,hierarchy_method,space_id,embeddings,reduction,reduction_dim,umap_seed,precision,recall,f1-score,f0.5-score,level_macro_f1,level_upper_macro_f1,level_lower_macro_f1,level_weighted_f1,level_f1_depth_1,level_f1_depth_2,level_f1_depth_3,level_f1_depth_4,level_f1_depth_5,level_f1_depth_6,lca_similarity_spearman,tree_distance_spearman,dendrogram_purity,ari,silhouette,calinski_harabasz,davies_bouldin,dbcv,twonn_raw,twonn_pca,twonn_umap,twonn_space,n_pred_clusters,n_noise,n_hierarchy_topics,min_cluster_size,davies_bouldin_inv,embedding_family
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__raw_300,tfidf_svd,raw,300,raw,0.7899593946105574,0.21527009355195653,0.3383399209486166,0.514992539827694,0.5164449116672147,0.3641475068112631,0.5925936140951905,0.4896247752642569,0.3442461473282847,0.38404886629424156,0.5677539450860938,0.6256873527101335,0.6055045871559633,0.5714285714285715,0.16950953684259878,0.04986955569214072,0.6182234540905469,0.33067821564817057,0.15457074248959526,4.423986294669136,1.850666658599254,0.0727047034652,5.8840467871612985,,,5.8840467871612985,89,305,89,2,-1.850666658599254,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_5__seed_0,tfidf_svd,umap,5,0,0.8718933574333484,0.38819032290514033,0.5372033131481868,0.6979562307831435,0.5107745998516562,0.354344417812714,0.5889896908711273,0.48498301491794304,0.33361753394189336,0.37507130168353464,0.5547244572029272,0.61534725594949,0.6144584789035206,0.5714285714285715,0.1436545988882409,0.058455120674006884,0.6904851617775696,0.5294547946546352,0.6686184406280518,4002.7173899523336,0.4477589489830971,0.3533762344349137,5.8840467871612985,4.828226358463545,2.5966471233405106,2.5966471233405106,102,83,102,2,-0.4477589489830971,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_5__seed_1,tfidf_svd,umap,5,1,0.8974836905871388,0.3874861683935218,0.5412773132860255,0.7104651591722306,0.5153240027171723,0.3846927294235939,0.5806396393639613,0.49931016222201363,0.3835041408103149,0.3858813180368728,0.5564183450618782,0.5817109696742793,0.6130006712911166,0.5714285714285715,0.19973587243992993,0.08457433904695048,0.7033599829535263,0.5337620730750717,0.6894218325614929,5247.274490689833,0.4377845521148536,0.40937722514784763,5.8840467871612985,4.828226358463545,2.3589540507254725,2.3589540507254725,98,95,98,2,-0.4377845521148536,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_5__seed_2,tfidf_svd,umap,5,2,0.8749736008447729,0.41675887737652145,0.5645952575633687,0.7172535577022956,0.49026871330727034,0.36551220934115214,0.5526469652903294,0.49251187430306714,0.39072318945091167,0.34030122923139267,0.5015211794991808,0.5751092921588689,0.5625288180746965,0.5714285714285715,0.15893926954990353,0.05528256264047605,0.6436920023962291,0.5569545681420419,0.6681037545204163,4291.891582358325,0.4262887088453522,0.32706134023190847,5.8840467871612985,4.828226358463545,2.5887703875916155,2.5887703875916155,94,69,94,2,-0.4262887088453522,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_5__seed_3,tfidf_svd,umap,5,3,0.7924842650870048,0.43064078060557287,0.5580394968389493,0.6784684142128118,0.5302161205613637,0.41105772239742744,0.5897953196433318,0.5242070422331102,0.47972839856868615,0.3423870462261687,0.550402713013989,0.6360928512736237,0.6012571428571429,0.5714285714285715,0.214546456769704,0.19219609879999502,0.6576990894163107,0.5495623246062964,0.6909202933311462,3422.8961842781882,0.440360044100759,0.44511077833104207,5.8840467871612985,4.828226358463545,2.6777768935717505,2.6777768935717505,88,70,88,2,-0.440360044100759,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_5__seed_4,tfidf_svd,umap,5,4,0.8246550956831331,0.37279951715119203,0.513474194665743,0.6637532686176882,0.536463310166034,0.42071091388612303,0.5943395083059895,0.5200984833457194,0.44487813049669156,0.39654369727555444,0.5549484923051258,0.6086386774860139,0.6423422920042466,0.5714285714285715,0.23158212943481005,0.1395608570824611,0.6760796320923305,0.5052407377604711,0.6777088046073914,3525.410581502078,0.42057179930155275,0.39264227862153284,5.8840467871612985,4.828226358463545,2.7656412252983738,2.7656412252983738,104,97,104,2,-0.42057179930155275,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_5__seed_42,tfidf_svd,umap,5,42,0.8711091626479615,0.3997585755960165,0.5480245466455217,0.7048848841746782,0.4903500791046019,0.36329335136346225,0.5538784429751717,0.4892374063135449,0.3750020911052746,0.3515846116216499,0.5033583563808772,0.5666334661354582,0.57409337795578,0.5714285714285715,0.12663517253396087,0.06782319573085595,0.6412422016180209,0.5402950969809202,0.6768810749053955,4552.710690675637,0.4404567236450059,0.42102677406225864,5.8840467871612985,4.828226358463545,2.8195950251778035,2.8195950251778035,96,76,96,2,-0.4404567236450059,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_10__seed_0,tfidf_svd,umap,10,0,0.8418842431988315,0.4638366361533045,0.5981320534440264,0.7238845803635907,0.5365803857120114,0.40438516639367683,0.6026779953711787,0.5076944126096017,0.3890975028198575,0.4196728299674961,0.5766678012253235,0.6353203234710183,0.6272952853598014,0.5714285714285715,0.1518217470848793,0.07029436208397655,0.6394294266841006,0.5903535527303079,0.6626284718513489,3660.4430290930986,0.44643356126917694,0.43000955345052483,5.8840467871612985,4.828226358463545,2.7611300992117793,2.7611300992117793,90,75,90,2,-0.44643356126917694,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_10__seed_1,tfidf_svd,umap,10,1,0.8767938396919845,0.5039734433155618,0.640051101884382,0.7637893709790529,0.5169762267604697,0.36959258376532156,0.5906680482580438,0.49358073879778697,0.3611608989383703,0.3780242685922728,0.5690392995956185,0.6023421826155928,0.6198621393923922,0.5714285714285715,0.22162933249553418,0.14944146237582523,0.6799814721982976,0.6328887296943283,0.6554062366485596,2668.4454185390823,0.46766632569685657,0.365511225096979,5.8840467871612985,4.828226358463545,2.699765144862443,2.699765144862443,89,73,89,2,-0.46766632569685657,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_10__seed_2,tfidf_svd,umap,10,2,0.806095736724009,0.4336585856553667,0.5639348551245994,0.6879328503494718,0.5355922631930359,0.3869494901934127,0.6099136496928474,0.510855348507207,0.41760269770183245,0.3562962826849929,0.6039704759480784,0.6488623118633761,0.6153932395313639,0.5714285714285715,0.22583730209370106,0.13223215295386853,0.6590362570650944,0.5556261603423046,0.6899731159210205,3310.3381510729046,0.44903415655238804,0.428675841257286,5.8840467871612985,4.828226358463545,2.750097607454585,2.750097607454585,90,74,90,2,-0.44903415655238804,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_10__seed_3,tfidf_svd,umap,10,3,0.824648928307465,0.4489487979076552,0.5813847456523156,0.7064167906549748,0.5165118539053107,0.38886569956094585,0.5803349310774932,0.5044278883949371,0.4071795731032295,0.3705518260186622,0.5373417176328711,0.5894726397777448,0.6230967954707856,0.5714285714285715,0.22260883913208568,0.1365677374455212,0.6749357869857165,0.5733455457942499,0.6701909899711609,3314.1647236957715,0.4617741239126416,0.37617135688419484,5.8840467871612985,4.828226358463545,2.858410255147169,2.858410255147169,89,68,89,2,-0.4617741239126416,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_10__seed_4,tfidf_svd,umap,10,4,0.8112167300380229,0.4292324715823358,0.5614104335241104,0.6886478809592976,0.5440372798863279,0.40730571793786036,0.6124030608605616,0.5193080628752679,0.4388010789281303,0.3758103569475904,0.6050313935358814,0.6476527006562343,0.6254995778215593,0.5714285714285715,0.21200712023136228,0.12971273064788283,0.6755733564682629,0.5531452603501004,0.7095134258270264,3593.041678712704,0.4235185634567792,0.46812510114576406,5.8840467871612985,4.828226358463545,2.898673424271201,2.898673424271201,87,84,87,2,-0.4235185634567792,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_10__seed_42,tfidf_svd,umap,10,42,0.8737107977267944,0.4175636253897998,0.5650694255377076,0.7170495767835551,0.5182323228818487,0.35816357337191357,0.5982666976368162,0.4874367626463065,0.33521488471575267,0.38111226202807447,0.5651231024365353,0.6264174716505669,0.630097645031591,0.5714285714285715,0.11638952814460013,0.10118018253602057,0.6868671236765923,0.5574192995743953,0.6716575622558594,4073.2587795872546,0.4762866058053422,0.4206893566807376,5.8840467871612985,4.828226358463545,2.852377428479049,2.852377428479049,93,86,93,2,-0.4762866058053422,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_15__seed_0,tfidf_svd,umap,15,0,0.7660423170308707,0.4443214968313047,0.5624243967657733,0.6691410392364793,0.5081415234928802,0.34991973988568975,0.5872524152964755,0.484264113589695,0.33400704564558326,0.36583243412579625,0.5927918695020923,0.602410800385728,0.5823784198695103,0.5714285714285715,0.12543385414525252,0.06684309294771462,0.607775317338065,0.5536662313438533,0.6749358773231506,2777.160500787377,0.45949348391301925,0.44263648628057306,5.8840467871612985,4.828226358463545,2.921900528783194,2.921900528783194,92,72,92,2,-0.45949348391301925,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_15__seed_1,tfidf_svd,umap,15,1,0.8633034987794955,0.42691882104416057,0.5713131857037088,0.7167708157405844,0.5257494249312235,0.3812523894108049,0.5979979426914327,0.5032900787801332,0.3940900711663959,0.36841470765521395,0.5746001726760679,0.6265929309930272,0.6193700956680641,0.5714285714285715,0.20060130746260818,0.10520126759483235,0.6616099788226885,0.5635945070112353,0.6651479005813599,3010.4570862984974,0.4692331077723272,0.42075889304187764,5.8840467871612985,4.828226358463545,2.899793516595799,2.899793516595799,95,87,95,2,-0.4692331077723272,tfidf
