selection_criterion,selection_metric,selection_direction,algorithm,space_id,embeddings,reduction,reduction_dim,umap_seed,precision,recall,f1-score,f0.5-score,h_precision,h_recall,h_f1-score,lca_similarity_spearman,tree_distance_spearman,dendrogram_purity,ari,silhouette,calinski_harabasz,davies_bouldin,dbcv,twonn_raw,twonn_pca,twonn_umap,twonn_space,n_pred_clusters,n_noise,min_cluster_size,davies_bouldin_inv,embedding_family
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__raw_1024,jina_embeddings_v3,raw,1024,raw,0.8937447640323932,0.6438990041243335,0.7485236508214933,0.8293814299411749,0.5852577167357659,0.7413766917243307,0.654131126213358,0.2547617339691231,0.22279356309267298,0.6912802872416409,0.7427657684747552,0.2155611366033554,14.520660719586182,1.4205258364914497,0.08859737682112899,9.319099453017616,,,6.850094695454759,60,193,2,-1.4205258364914497,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_10__seed_0,jina_embeddings_v3,umap,10,0,0.8259925558312655,0.8036414847600845,0.8146637434354764,0.8214234304633038,0.6727529100421068,0.784047908976315,0.7241491156377153,0.37655347228048747,0.3779374954762804,0.8339201618542404,0.8096460258815241,0.7693173885345459,14529.858194286475,0.3405227820984511,0.4593837241753163,9.319099453017616,6.850094695454759,2.9442083609452476,2.9442083609452476,41,64,6,-0.3405227820984511,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_10__seed_1,jina_embeddings_v3,umap,10,1,0.8525847693162868,0.7714515642289508,0.8099915504858471,0.8350210143507328,0.6827687511587687,0.8034235134693619,0.7381985251825048,0.39001374822075663,0.40660560633289894,0.8608575280096348,0.8050412956545528,0.7484319806098938,13070.476386002234,0.38255199404927004,0.4687271872772779,9.319099453017616,6.850094695454759,3.1168001058797037,3.1168001058797037,48,51,4,-0.38255199404927004,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_10__seed_2,jina_embeddings_v3,umap,10,2,0.8362170875873186,0.7827180364148476,0.8085836017873844,0.8249400988104578,0.6984849613636697,0.8228648930991812,0.755590505862748,0.34069508694110195,0.3339014408391343,0.8622389255688626,0.8035055372507663,0.7504052519798279,9983.411630359877,0.3613015723736901,0.5293941805762203,9.319099453017616,6.850094695454759,3.2437362303878197,3.2437362303878197,53,37,3,-0.3613015723736901,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_10__seed_3,jina_embeddings_v3,umap,10,3,0.8317218679284097,0.8133990544210844,0.8224584244520164,0.827991562391202,0.6771427942926622,0.8012811124927209,0.7340002133853731,0.37801486041131577,0.36493046147597347,0.8383914964123723,0.8176388332459987,0.7673819661140442,12957.461322834835,0.3380449080449379,0.4519793729011985,9.319099453017616,6.850094695454759,3.033682966467776,3.033682966467776,41,62,6,-0.3380449080449379,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_10__seed_4,jina_embeddings_v3,umap,10,4,0.8517094017094017,0.8019313952318681,0.826071188021346,0.8412654861653407,0.6909041247295113,0.7898099667725605,0.7370537863147996,0.3938401650643461,0.3917538417621776,0.8479157373663376,0.8214426287975257,0.760878324508667,11167.728063040815,0.3426016372371911,0.46883489969363185,9.319099453017616,6.850094695454759,3.208200696912509,3.208200696912509,44,65,5,-0.3426016372371911,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_10__seed_42,jina_embeddings_v3,umap,10,42,0.873212689901698,0.7863394024746001,0.8275022495104006,0.8543356138931999,0.6733200193444688,0.8092663905508859,0.7350603757105951,0.3959689298157571,0.34657375734736307,0.8530873706480565,0.8230197954714618,0.7379607558250427,11711.803128122527,0.3762982139888681,0.4796922689576996,9.319099453017616,6.850094695454759,3.2154364757122544,3.2154364757122544,53,51,3,-0.3762982139888681,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_15__seed_0,jina_embeddings_v3,umap,15,0,0.756713920929823,0.8645005532642591,0.8070241337214762,0.776066029727826,0.6864681994378983,0.7879250831415164,0.7337058836429955,0.37926608958214114,0.40033417241421715,0.8450091494290691,0.8013622815632848,0.7816798686981201,9805.044446466434,0.3023765128032781,0.46831670250729746,9.319099453017616,6.850094695454759,3.2227854130512124,3.2227854130512124,37,55,6,-0.3023765128032781,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_15__seed_1,jina_embeddings_v3,umap,15,1,0.8796640671865626,0.7375515541696006,0.8023637557452397,0.8470229430928121,0.6655413937679542,0.8049295371287287,0.7286290599420061,0.38125061844369856,0.33978280524657073,0.8467727577702707,0.797425410765559,0.7162732481956482,10928.804115497938,0.4277402897865162,0.5192485417888825,9.319099453017616,6.850094695454759,2.9844063361531816,2.9844063361531816,68,31,2,-0.4277402897865162,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_15__seed_2,jina_embeddings_v3,umap,15,2,0.8330668372241765,0.7861382154712806,0.8089224717938102,0.8232381754977353,0.6774972244013705,0.8031438579952224,0.7349893786629728,0.3661542391358985,0.37078329628631473,0.8515709857344652,0.8038315283756498,0.7707868218421936,11653.571592130746,0.3441358835579225,0.5395352815709159,9.319099453017616,6.850094695454759,2.8530991420910734,2.8530991420910734,49,51,4,-0.3441358835579225,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_15__seed_3,jina_embeddings_v3,umap,15,3,0.816358024691358,0.7982094356704557,0.8071817303290778,0.8126625837242171,0.6894842721529894,0.7914735517430019,0.7369670586786278,0.4033810471500059,0.4134521226547325,0.8400099584858395,0.8019479931160777,0.7789605855941772,13173.857241790114,0.33387141504503565,0.5202530398317041,9.319099453017616,6.850094695454759,3.1726320685288805,3.1726320685288805,40,80,6,-0.33387141504503565,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_15__seed_4,jina_embeddings_v3,umap,15,4,0.7879421833396729,0.8335177547530429,0.8100894559319548,0.7966541678684742,0.6702834143239155,0.7867203583636498,0.7238493376711378,0.3710171744514773,0.3551350059573526,0.8331388298487752,0.8047237094115204,0.7609369158744812,10499.426599285378,0.3296446967852354,0.4818122952967068,9.319099453017616,6.850094695454759,3.0190512031104926,3.0190512031104926,39,60,6,-0.3296446967852354,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_15__seed_42,jina_embeddings_v3,umap,15,42,0.8404267523230469,0.7369479931596419,0.7852931718297781,0.8174697047468142,0.6543322465548862,0.8241110546153512,0.7294732741530917,0.3628922180317597,0.30322956456860883,0.8545205640661495,0.7797939244319376,0.7084519863128662,9975.140113948264,0.4572668442240954,0.5432668337690085,9.319099453017616,6.850094695454759,3.1175788195901677,3.1175788195901677,66,26,2,-0.4572668442240954,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_30__seed_0,jina_embeddings_v3,umap,30,0,0.8231701310215742,0.8405592998692284,0.8317738403344614,0.8265901671777623,0.6756620381862384,0.8099604901404762,0.736741056606119,0.3670601334602737,0.37707324363902617,0.8404107954114673,0.8271046566610103,0.7329098582267761,10870.948207264832,0.36105166403673145,0.47283291078665296,9.319099453017616,6.850094695454759,3.148718856700967,3.148718856700967,45,43,4,-0.36105166403673145,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_30__seed_1,jina_embeddings_v3,umap,30,1,0.7516008537886874,0.8501156825269087,0.7978286523483598,0.7694338729355209,0.6782644123149937,0.7820388062945673,0.7264643186419271,0.38106454662827155,0.39637760868592126,0.8320956143254731,0.7919255106282452,0.7525607943534851,8982.456230647884,0.32600741119124677,0.4863788849729725,9.319099453017616,6.850094695454759,2.9809886548261852,2.9809886548261852,39,48,5,-0.32600741119124677,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_30__seed_2,jina_embeddings_v3,umap,30,2,0.8390517779164067,0.8117895583945277,0.825195562145304,0.833453824386012,0.6878344927553285,0.8070397614149566,0.7426842537124918,0.3801916428117752,0.3326868601180192,0.858518135120884,0.8204767707218316,0.7547205686569214,10743.26078206469,0.3612016685351399,0.5428328844684128,9.319099453017616,6.850094695454759,3.0667009433682475,3.0667009433682475,51,41,3,-0.3612016685351399,jina
