embeddings,internal_metric,external_metric,spearman_corr
tfidf_svd,davies_bouldin_inv,ari,0.7775041344016997
tfidf_svd,davies_bouldin_inv,f0.5-score,0.6913212677939187
tfidf_svd,silhouette,f1-score,0.6577416894600235
tfidf_svd,silhouette,ari,0.6552629462141
tfidf_svd,davies_bouldin_inv,precision,0.614075201749266
tfidf_svd,silhouette,f0.5-score,0.5383729796293715
tfidf_svd,davies_bouldin_inv,h_f1-score,0.5004867717813449
tfidf_svd,davies_bouldin_inv,dendrogram_purity,0.4987434593330776
tfidf_svd,davies_bouldin_inv,h_recall,0.4923182423299771
tfidf_svd,silhouette,precision,0.4713214855080875
tfidf_svd,silhouette,h_f1-score,0.2966017925823196
tfidf_svd,silhouette,dendrogram_purity,0.29388845756812376
tfidf_svd,silhouette,h_recall,0.28582464284942766
tfidf_svd,calinski_harabasz,h_precision,0.26772007247280644
tfidf_svd,davies_bouldin_inv,h_precision,0.11736780782524915
tfidf_svd,silhouette,lca_similarity_spearman,0.08025469089128495
tfidf_svd,davies_bouldin_inv,lca_similarity_spearman,0.07555437696624612
tfidf_svd,calinski_harabasz,lca_similarity_spearman,0.061939188243589315
tfidf_svd,silhouette,tree_distance_spearman,0.04423007734175246
tfidf_svd,silhouette,h_precision,0.0274222645437577
tfidf_svd,davies_bouldin_inv,tree_distance_spearman,-0.07053314658403229
tfidf_svd,silhouette,recall,-0.12694524406843932
tfidf_svd,davies_bouldin_inv,recall,-0.13737161355436955
tfidf_svd,calinski_harabasz,tree_distance_spearman,-0.23584195040293143
tfidf_svd,calinski_harabasz,recall,-0.40086786144981623
