selection_criterion,selection_metric,selection_direction,algorithm,hierarchy_method,space_id,embeddings,reduction,reduction_dim,umap_seed,precision,recall,f1-score,f0.5-score,level_macro_f1,level_upper_macro_f1,level_lower_macro_f1,level_weighted_f1,level_f1_depth_1,level_f1_depth_2,level_f1_depth_3,level_f1_depth_4,level_f1_depth_5,level_f1_depth_6,lca_similarity_spearman,tree_distance_spearman,dendrogram_purity,ari,silhouette,calinski_harabasz,davies_bouldin,dbcv,twonn_raw,twonn_pca,twonn_umap,twonn_space,n_pred_clusters,n_noise,n_hierarchy_topics,min_cluster_size,davies_bouldin_inv,embedding_family
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__raw_1024,jina_embeddings_v3,raw,1024,raw,0.8937447640323932,0.6438990041243335,0.7485236508214933,0.8293814299411749,0.6191332883055704,0.4043468935456209,0.726526485685545,0.522464843874484,0.3689772368494364,0.4397165502418055,0.7207388884407518,0.8058362451600718,0.8081022377127848,0.5714285714285715,0.17253619327539133,0.0879899832802108,0.8238163859305553,0.7427657684747552,0.2155611366033554,14.520660719586182,1.4205258364914497,0.08859737682112899,9.319099453017616,,,6.850094695454759,60,193,60,2,-1.4205258364914497,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_10__seed_0,jina_embeddings_v3,umap,10,0,0.8259925558312655,0.8036414847600845,0.8146637434354764,0.8214234304633038,0.6302664369356866,0.430949682461708,0.7299248141726759,0.5222128727071492,0.33542253334628047,0.5264768315771355,0.7555350165945469,0.7865311308767471,0.8062045377908378,0.5714285714285715,0.15179608346459586,0.12815749286135703,0.8256689243240518,0.8096460258815241,0.7693173885345459,14529.858194286475,0.3405227820984511,0.4593837241753163,9.319099453017616,6.850094695454759,2.9442083609452476,2.9442083609452476,41,64,41,6,-0.3405227820984511,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_10__seed_1,jina_embeddings_v3,umap,10,1,0.8525847693162868,0.7714515642289508,0.8099915504858471,0.8350210143507328,0.636551401129415,0.4708662451127699,0.7193939791377375,0.5450597781395883,0.4223625618245852,0.5193699284009546,0.7375071293818278,0.7697136878150861,0.7989265279254646,0.5714285714285715,0.22921446817069382,0.13115411963383466,0.8127124754378877,0.8050412956545528,0.7484319806098938,13070.476386002234,0.38255199404927004,0.4687271872772779,9.319099453017616,6.850094695454759,3.1168001058797037,3.1168001058797037,48,51,48,4,-0.38255199404927004,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_10__seed_2,jina_embeddings_v3,umap,10,2,0.8362170875873186,0.7827180364148476,0.8085836017873844,0.8249400988104578,0.6368465757213716,0.42579229722985024,0.7423737149671323,0.5228468958562805,0.3338401922793937,0.5177444021803067,0.7783830899978208,0.8088095690146194,0.8108736294275176,0.5714285714285715,0.1448094896162288,0.09603175959906679,0.8236349915519552,0.8035055372507663,0.7504052519798279,9983.411630359877,0.3613015723736901,0.5293941805762203,9.319099453017616,6.850094695454759,3.2437362303878197,3.2437362303878197,53,37,53,3,-0.3613015723736901,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_10__seed_3,jina_embeddings_v3,umap,10,3,0.8317218679284097,0.8133990544210844,0.8224584244520164,0.827991562391202,0.6335846681372258,0.4332466575757412,0.7337536734179683,0.5302919497684054,0.3724194301728165,0.494073884978666,0.7663559180955551,0.7875656978572392,0.8096645062905071,0.5714285714285715,0.15243992652009858,0.11918127606079028,0.8248013849843675,0.8176388332459987,0.7673819661140442,12957.461322834835,0.3380449080449379,0.4519793729011985,9.319099453017616,6.850094695454759,3.033682966467776,3.033682966467776,41,62,41,6,-0.3380449080449379,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_10__seed_4,jina_embeddings_v3,umap,10,4,0.8517094017094017,0.8019313952318681,0.826071188021346,0.8412654861653407,0.6297553016544072,0.42227795929867995,0.7334939728322708,0.5269966257154735,0.36736516251934753,0.4771907560780123,0.7565578330266592,0.7895565225442089,0.8164329643296433,0.5714285714285715,0.20639078191461832,0.1286104150959425,0.8088927425424972,0.8214426287975257,0.760878324508667,11167.728063040815,0.3426016372371911,0.46883489969363185,9.319099453017616,6.850094695454759,3.208200696912509,3.208200696912509,44,65,44,5,-0.3426016372371911,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_10__seed_42,jina_embeddings_v3,umap,10,42,0.873212689901698,0.7863394024746001,0.8275022495104006,0.8543356138931999,0.6348418458535342,0.4142345851731748,0.7451454761937139,0.5247580248080888,0.3542454843670513,0.4742236859792983,0.7845198279980888,0.798888303224879,0.8257452021233157,0.5714285714285715,0.14155453690887546,0.09886350822985558,0.8437592592166456,0.8230197954714618,0.7379607558250427,11711.803128122527,0.3762982139888681,0.4796922689576996,9.319099453017616,6.850094695454759,3.2154364757122544,3.2154364757122544,53,51,53,3,-0.3762982139888681,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_15__seed_0,jina_embeddings_v3,umap,15,0,0.756713920929823,0.8645005532642591,0.8070241337214762,0.776066029727826,0.6432633481898057,0.4258312132531571,0.75197941565813,0.5257579166683558,0.33988197372563106,0.5117804527806832,0.826877592958784,0.8082750582750582,0.801336439970106,0.5714285714285715,0.18129524556904447,0.096313757825294,0.8149965616509603,0.8013622815632848,0.7816798686981201,9805.044446466434,0.3023765128032781,0.46831670250729746,9.319099453017616,6.850094695454759,3.2227854130512124,3.2227854130512124,37,55,37,6,-0.3023765128032781,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_15__seed_1,jina_embeddings_v3,umap,15,1,0.8796640671865626,0.7375515541696006,0.8023637557452397,0.8470229430928121,0.6358472154993092,0.4410536246285604,0.7332440109346836,0.5392413958225245,0.4119502365516033,0.4701570127055175,0.7635301092572203,0.7866157342488274,0.8114016288041149,0.5714285714285715,0.20194558134933047,0.10161123018618046,0.8160684970380464,0.797425410765559,0.7162732481956482,10928.804115497938,0.4277402897865162,0.5192485417888825,9.319099453017616,6.850094695454759,2.9844063361531816,2.9844063361531816,68,31,68,2,-0.4277402897865162,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_15__seed_2,jina_embeddings_v3,umap,15,2,0.8330668372241765,0.7861382154712806,0.8089224717938102,0.8232381754977353,0.6371858558917352,0.43339540455609166,0.739081081559557,0.5261255697843011,0.3457052801937561,0.5210855289184272,0.7728690228690228,0.8069977956005816,0.8050289363400519,0.5714285714285715,0.1657101181509524,0.09756092368611392,0.8135842579332061,0.8038315283756498,0.7707868218421936,11653.571592130746,0.3441358835579225,0.5395352815709159,9.319099453017616,6.850094695454759,2.8530991420910734,2.8530991420910734,49,51,49,4,-0.3441358835579225,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_15__seed_3,jina_embeddings_v3,umap,15,3,0.816358024691358,0.7982094356704557,0.8071817303290778,0.8126625837242171,0.6405974038352139,0.4503222502427612,0.7357349806314403,0.5363897625256882,0.3843343833549515,0.5163101171305708,0.7728518057285181,0.8039242037360569,0.7947353416326143,0.5714285714285715,0.1822436966193001,0.14864753393624125,0.7950317110377106,0.8019479931160777,0.7789605855941772,13173.857241790114,0.33387141504503565,0.5202530398317041,9.319099453017616,6.850094695454759,3.1726320685288805,3.1726320685288805,40,80,40,6,-0.33387141504503565,jina
best_by_f1,f1-score,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_15__seed_4,jina_embeddings_v3,umap,15,4,0.7879421833396729,0.8335177547530429,0.8100894559319548,0.7966541678684742,0.6459745518527927,0.4460563502613095,0.7459336526485343,0.5258426021362484,0.32435485619412224,0.5677578443284969,0.7966163435463633,0.8185701830863121,0.7971195125328902,0.5714285714285715,0.1376712869194264,0.14889863798194455,0.8011428979412616,0.8047237094115204,0.7609369158744812,10499.426599285378,0.3296446967852354,0.4818122952967068,9.319099453017616,6.850094695454759,3.0190512031104926,3.0190512031104926,39,60,39,6,-0.3296446967852354,jina
