selection_criterion,twonn_metric,external_metric,spearman_corr
best_by_f0.5,twonn_pca,level_lower_macro_f1,0.3069556697807474
best_by_f0.5,twonn_space,level_f1_depth_4,0.28860672614962246
best_by_f0.5,twonn_raw,level_lower_macro_f1,0.28796092819575964
best_by_f0.5,twonn_umap,recall,0.28125514471994323
best_by_f0.5,twonn_pca,recall,0.22471854317735596
best_by_f0.5,twonn_umap,level_f1_depth_3,0.22219204016956823
best_by_f0.5,twonn_raw,recall,0.21241569355084722
best_by_f0.5,twonn_pca,level_f1_depth_4,0.20376408796025722
best_by_f0.5,twonn_umap,level_macro_f1,0.1995719636169074
best_by_f0.5,twonn_raw,level_f1_depth_4,0.1903387395910643
best_by_f0.5,twonn_space,recall,0.17148974583260357
best_by_f0.5,twonn_space,level_f1_depth_3,0.1349706066664677
best_by_f0.5,twonn_space,level_macro_f1,0.13238936468622242
best_by_f0.5,twonn_raw,level_f1_depth_1,0.1314710881711475
best_by_f0.5,twonn_pca,level_f1_depth_1,0.11838222076868415
best_by_f0.5,twonn_pca,level_f1_depth_3,0.07176267365181295
best_by_f0.5,twonn_raw,level_f1_depth_3,0.06671667160923903
best_by_f0.5,twonn_pca,level_macro_f1,0.025143126534941766
best_by_f0.5,twonn_raw,level_macro_f1,0.02305649680613408
best_by_f0.5,twonn_umap,level_f1_depth_1,-0.019401572210560974
best_by_f0.5,twonn_umap,level_weighted_f1,-0.038268098942256246
best_by_f0.5,twonn_space,level_f1_depth_1,-0.05244546566798961
best_by_f0.5,twonn_space,level_weighted_f1,-0.09499865715735131
best_by_f0.5,twonn_umap,level_f1_depth_2,-0.12832036876980696
best_by_f0.5,twonn_space,level_f1_depth_2,-0.17283876935931483
best_by_f0.5,twonn_raw,level_weighted_f1,-0.1731690079269219
best_by_f0.5,twonn_pca,level_weighted_f1,-0.18176385224218322
best_by_f0.5,twonn_umap,level_upper_macro_f1,-0.21452031114952463
best_by_f0.5,twonn_space,level_upper_macro_f1,-0.2547372504550744
best_by_f0.5,twonn_space,lca_similarity_spearman,-0.3263256841037271
best_by_f0.5,twonn_umap,lca_similarity_spearman,-0.329398691196444
best_by_f0.5,twonn_raw,level_f1_depth_2,-0.5008656008311254
best_by_f0.5,twonn_pca,level_f1_depth_2,-0.5012910852904015
best_by_f0.5,twonn_raw,level_upper_macro_f1,-0.5047901109257864
best_by_f0.5,twonn_pca,level_upper_macro_f1,-0.5164817242385955
best_by_f0.5,twonn_pca,lca_similarity_spearman,-0.6238638271482425
best_by_f0.5,twonn_raw,lca_similarity_spearman,-0.6254687963366159
best_by_f0.5,twonn_raw,level_f1_depth_6,
